instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
CartPole-v1#6.859999999999999#1.9#0.19#0.35#13.0,"[[25.608973503112793, 24.778053760528564, 25.124812364578247], [25.318890099999408, 24.463197899998704, 24.80187560000013]]","[[27.931092262268066, 27.749389171600342, 29.262929916381836], [27.573093099999824, 27.364371200001187, 28.849406600000293]]","[[22.57272243499756, 20.712716341018677, 20.663588047027588], [22.177135800000542, 20.38413649999893, 20.31165570000121]]","[[23.695207834243774, 24.758451223373413, 25.501526355743408], [23.366424099998767, 24.423685299998397, 25.158626000000368]]"
LunarLander-v2#10.0#857.1428571428571#1.2999999999999998,"[[25.576773166656494, 24.98267388343811, 25.653093099594116], [24.62094160000015, 24.18781140000101, 24.768639500000063]]","[[29.416667222976685, 28.515684843063354, 29.19319248199463], [27.905378599998585, 27.070449400000143, 27.639467900000454]]","[[22.76293134689331, 22.27954411506653, 21.15584087371826], [21.450681700000132, 20.988981600001352, 19.972641700000167]]","[[24.858601570129395, 25.470908641815186, 26.138754844665527], [23.614548699999432, 24.19760740000129, 24.86331049999899]]"
CartPole-v1#18.62#0.7#0.13#0.95#1.0,"[[28.600719928741455, 26.298540592193604, 24.96022367477417], [28.265621900000042, 25.956196099999943, 24.628618599999754]]","[[30.845073223114014, 29.53228211402893, 30.9608952999115], [30.361694200000784, 29.083906500000012, 30.463586599998962]]","[[22.13837170600891, 20.40280270576477, 19.57084584236145], [21.73761949999971, 20.057519799998772, 19.24882989999969]]","[[23.001052141189575, 22.802480697631836, 22.543748140335083], [22.6617810000007, 22.451279500000965, 22.207635899998422]]"
CartPole-v1#0.98#1.9#0.06999999999999999#0.65#13.0,"[[24.772436141967773, 28.44416332244873, 29.669127225875854], [24.469248100000186, 28.128173900000547, 29.309462499999427]]","[[30.143098831176758, 29.07266330718994, 29.641892671585083], [29.746199299999716, 28.681985999999597, 29.236653199999637]]","[[21.682240962982178, 22.78352665901184, 21.196048259735107], [21.36328870000034, 22.436344499999905, 20.86066060000121]]","[[23.84980821609497, 24.82770800590515, 26.94013786315918], [23.505802399999084, 24.487406700000065, 26.595387200000914]]"
CartPole-v1#0.98#0.1#0.19#0.05#13.0,"[[24.111239910125732, 23.870009899139404, 23.41351819038391], [23.83395720000044, 23.579917699998987, 23.139702300000863]]","[[27.57558846473694, 28.95394253730774, 28.20093321800232], [27.215316599998914, 28.580980799999452, 27.808368099998916]]","[[19.3543758392334, 20.770554065704346, 19.84695076942444], [19.051692700000785, 20.416781199999605, 19.53728250000131]]","[[23.66400146484375, 24.634310722351074, 24.58448338508606], [23.365869700000985, 24.326113900000564, 24.274277299999085]]"
CartPole-v1#6.859999999999999#1.9#0.01#0.05#1.0,"[[25.792454957962036, 27.80601668357849, 26.78327751159668], [25.45065760000034, 27.46571849999964, 26.433257000000594]]","[[26.365506887435913, 26.97890830039978, 27.58451747894287], [25.961877800000366, 26.558403699998962, 27.132600299999467]]","[[25.463379383087158, 23.993781805038452, 21.237255573272705], [25.092462000000523, 23.638698899998417, 20.88056130000041]]","[[23.837923288345337, 23.54710078239441, 23.60318684577942], [23.394198699999833, 23.140221899999233, 23.191990300001635]]"
LunarLander-v2#44.285714285714285#285.7142857142857#1.0999999999999999,"[[25.056394338607788, 24.657970905303955, 24.614790201187134], [24.06172979999974, 23.840102100000877, 23.66065869999875]]","[[29.76360058784485, 29.301643133163452, 28.666826248168945], [28.4336729000006, 28.24100349999935, 27.63136990000021]]","[[22.001034021377563, 22.355367422103882, 25.361006259918213], [20.974117799998567, 21.30716609999945, 24.124455600000147]]","[[28.41527271270752, 27.428496599197388, 28.590391635894775], [26.960870900000373, 26.052211300000636, 27.17968379999911]]"
CartPole-v1#0.98#1.3#0.19#0.65#19.0,"[[27.059730529785156, 27.268104314804077, 27.212737560272217], [26.700779099999636, 26.902451500000097, 26.83894489999875]]","[[29.832626581192017, 29.50249147415161, 29.35099959373474], [29.393229600000268, 29.115447100000893, 28.91322559999935]]","[[21.69744873046875, 21.391843795776367, 22.229294776916504], [21.331539800001337, 20.987068500000532, 21.850895699999455]]","[[25.78294038772583, 28.098246812820435, 25.656400442123413], [25.446230699999433, 27.71639299999879, 25.302005100000315]]"
CartPole-v1#0.98#1.3#0.13#0.05#13.0,"[[27.431424617767334, 27.46103835105896, 26.801636695861816], [27.085900000000038, 27.099078699999154, 26.44740339999953]]","[[29.441392421722412, 29.026220083236694, 28.555487394332886], [29.011360000000423, 28.612276500000007, 28.13895269999921]]","[[22.46857714653015, 21.963908672332764, 21.416704654693604], [22.044069400000808, 21.542762900000525, 20.99483540000074]]","[[25.337360382080078, 24.124860286712646, 27.259169340133667], [24.94765130000087, 23.724786499999027, 26.824007600000186]]"
LunarLander-v2#32.85714285714286#285.7142857142857#1.5,"[[24.40901827812195, 27.67939567565918, 27.043126106262207], [23.74310510000032, 26.36246719999872, 25.799253399998634]]","[[29.32579207420349, 30.912237405776978, 30.207998037338257], [28.40591200000017, 29.368571200000588, 28.620935400000235]]","[[22.875433921813965, 22.484866857528687, 23.464999675750732], [21.88898490000065, 21.474625000000742, 22.195121099999596]]","[[26.46530270576477, 26.28388738632202, 27.114940881729126], [24.997722899999644, 25.005739299998822, 25.789209000000483]]"
