instances,Rtestmax,avRandomScore,normalisedScore,gamma,numPrototypes,explorationMode
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,14.7,36.85585585585586,-0.0,0.9,10,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,24.6,36.85585585585586,-0.0,0.9,10,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,17.8,36.85585585585586,-0.0,0.9,50,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,78.1,36.85585585585586,0.2561045877410367,0.9,50,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,14.0,36.85585585585586,-0.0,0.9,100,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,103.2,36.85585585585586,0.4119624746166626,0.9,100,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,14.7,36.85585585585586,-0.0,0.95,10,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,74.9,36.85585585585586,0.2362342595337857,0.95,10,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,22.4,36.85585585585586,-0.0,0.95,50,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,125.8,36.85585585585586,0.5522966675803734,0.95,50,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,13.8,36.85585585585586,-0.0,0.95,100,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,108.0,36.85585585585586,0.44176796692753934,0.95,100,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,21.9,36.85585585585586,-0.0,1.0,10,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,66.2,36.85585585585586,0.18221180472032178,1.0,10,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,197.9,36.85585585585586,1.0,1.0,50,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,106.0,36.85585585585586,0.4293490117980074,1.0,50,epsilonGreedy
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,176.9,36.85585585585586,0.8696009711399146,1.0,100,optimistic
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,165.2,36.85585585585586,0.7969500836321527,1.0,100,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,3.2,5.0753164556962025,-0.0,0.9,10,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.8,5.0753164556962025,0.056133484395921314,0.9,10,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,8.0,5.0753164556962025,0.09519002986919355,0.9,50,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,20.4,5.0753164556962025,0.49877433309300645,0.9,50,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.3,5.0753164556962025,0.03985992378205788,0.9,100,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,7.4,5.0753164556962025,0.07566175713255745,0.9,100,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,3.2,5.0753164556962025,-0.0,0.95,10,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.8,5.0753164556962025,0.056133484395921314,0.95,10,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,35.8,5.0753164556962025,1.0,0.95,50,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,21.2,5.0753164556962025,0.524812030075188,0.95,50,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.3,5.0753164556962025,0.03985992378205788,0.95,100,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.5,5.0753164556962025,0.046369348027603265,0.95,100,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,3.1,5.0753164556962025,-0.0,1.0,10,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.8,5.0753164556962025,0.056133484395921314,1.0,10,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,34.2,5.0753164556962025,0.9479246060356372,1.0,50,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,21.2,5.0753164556962025,0.524812030075188,1.0,50,epsilonGreedy
CartPole-v1#12.74#0.1#0.13#0.35#13.0,6.5,5.0753164556962025,0.046369348027603265,1.0,100,optimistic
CartPole-v1#12.74#0.1#0.13#0.35#13.0,7.8,5.0753164556962025,0.08868060562364817,1.0,100,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-27.0,-374.80392156862746,1.0,0.9,10,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-28.9,-374.80392156862746,0.9945371518773256,0.9,10,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-44.4,-374.80392156862746,0.9499718119291917,0.9,50,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-286.8,-374.80392156862746,0.2530273988048258,0.9,50,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-190.4,-374.80392156862746,0.5301950614499944,0.9,100,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-402.7,-374.80392156862746,-0.0,0.9,100,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-500.0,-374.80392156862746,-0.0,0.95,10,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-29.0,-374.80392156862746,0.9942496335550794,0.95,10,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-29.7,-374.80392156862746,0.9922370052993573,0.95,50,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-88.6,-374.80392156862746,0.8228887134964484,0.95,50,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-127.7,-374.80392156862746,0.7104690494982524,0.95,100,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-500.0,-374.80392156862746,-0.0,0.95,100,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-27.0,-374.80392156862746,1.0,1.0,10,optimistic
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-28.9,-374.80392156862746,0.9945371518773256,1.0,10,epsilonGreedy
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,-29.5,-374.80392156862746,0.9928120419438493,1.0,50,optimistic
