instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow,source
CartPole-v1#0.98#1.3#0.19#0.05#7.0,0.5429251174366989,0.0037792163687157,0.0093904120827074,0.11,0.11,0.06,0.08,1.4744336163640124,2.654518431316471,0.660162341767913,0.7358337274577016,0.7217998942288921,1.0,0.2365051483995118,1.0,0.7823907953800717,1.0,0.3956589893486485,1.0,1.0,0.7909278201507639,0.8791778590647307,CartPole
MountainCar-v0#0.3642857142857142#0.002428571428571429#0.0030357142857142857,0.3290103787045954,0.0137772171561747,0.3540275693606637,0.09,0.09,0.02,0.6,3.9945044130014873,15.55662292427223,0.1078463610978318,-0.0,0.4179511028434759,1.0,0.9155872507640808,1.0,-0.0,0.0361938866862769,1.0,0.9498458376156218,0.9187392942788628,1.0,0.829393627954779,MountainCar
LunarLander-v2#10.0#1714.2857142857142#0.5,0.8050287456505796,0.0143207594032567,0.0,0.11,0.11,0.09,0.09,0.446637805400539,0.1453994426215863,0.9317040028049698,0.9632654230674168,1.0,0.4520618653666876,1.0,0.3842636340357842,0.3952421385801133,0.1609878760182237,1.0,1.0,0.7396402365310066,0.7130402677409261,0.3046650104628742,LunarLander
CartPole-v1#6.859999999999999#0.7#0.06999999999999999#0.35#1.0,0.615555572537168,0.0044010014650054,0.0013095238095238,0.08,0.08,0.06,0.06,1.4222394583506803,2.62793335182284,0.4260036155668261,0.0510028894732592,0.0435071113342485,1.0,0.2421986648012694,1.0,0.1011032760255773,1.0,-0.0,0.8423868470289596,1.0,0.8353564303923924,-0.0,CartPole
CartPole-v1#6.859999999999999#0.1#0.19#0.95#7.0,0.5950633947391306,0.0024387435199995,0.007487684729064,0.06,0.06,0.1,0.11,1.7349086465621444,2.317058420018358,0.7367220508962518,0.7756557326223105,0.8551109939852422,1.0,0.2157301474610398,0.4122362402672221,1.0,1.0,0.6051884939399671,1.0,0.7153981748862991,0.5504850625258941,0.4137982133685466,CartPole
MountainCar-v0#0.4428571428571428#0.005#0.007214285714285715,0.0763141289070949,0.0073410266325027,0.7805013817720863,0.07,0.26,0.0,0.88,5.800852670454629,37.69610195496045,0.1777502337519375,0.3296642817831591,0.3625022931572189,1.0,0.5516250944822373,0.2900982615268329,1.0,0.9364252214695156,1.0,0.5660492570730714,0.5660492570730714,0.562996132709139,1.0,MountainCar
LunarLander-v2#38.57142857142857#0.0#0.7,1.0426038601130707,0.0266508183292271,0.0,0.11,0.11,0.1,0.1,-0.5231292116151149,0.0956909709776554,0.2891339007104904,0.3462055138473685,0.6321524206685442,1.0,0.333050523997052,0.7632158357400005,1.0,1.0,0.0306156068856424,-0.0,-0.0,-0.0,1.0,LunarLander
CartPole-v1#12.74#0.7#0.13#0.65#7.0,0.7844354506515065,0.0094552406683715,0.0,0.08,0.08,0.09,0.09,1.772196164838022,2.597860486372657,0.8060944230161594,0.8323225832362744,0.4349271055062452,1.0,0.0742945366029571,0.4489542012261089,1.0,1.0,-0.0,1.0,0.9760679348568349,0.64154790827005,0.3839145992564726,CartPole
CartPole-v1#0.98#0.7#0.01#0.95#1.0,0.8393769281923036,0.0064030853550178,0.0,0.13,0.13,0.09,0.09,1.4642482790040172,2.347632378954473,0.2683792680423543,0.3604094634396209,0.3360572203013617,1.0,-0.0,0.7642660577317172,1.0,1.0,-0.0,1.0,0.5418637796107841,-0.0,-0.0,CartPole
CartPole-v1#18.62#0.7#0.13#0.65#1.0,0.5347141309124712,0.0032129503362519,0.0015458937198067,0.11,0.11,0.1,0.1,1.0055499851707823,2.377354278525922,0.4690193764577579,0.2290170436273984,0.6210472719476899,1.0,0.2095018631104137,1.0,0.9244704844087076,1.0,-0.0,1.0,0.4802751745108183,0.5232768068236093,-0.0,CartPole
CartPole-v1#18.62#1.9#0.19#0.65#13.0,0.6648257588556807,0.0033273404887681,0.0036321048067297,0.07,0.07,0.11,0.11,1.4382164259186805,1.8826204416638923,0.7161895070055191,0.3562209274635253,1.0,0.603267237136643,0.2165836341535288,0.4041895351407102,1.0,1.0,-0.0,1.0,0.3169386687588071,0.3762492241747091,0.0493955537622567,CartPole
LunarLander-v2#27.142857142857142#1714.2857142857142#1.0999999999999999,0.650074864855585,0.0177102807724766,0.0,0.11,0.11,0.1,0.1,-0.044170340718141,-1.0327575081192883,0.6666795943481414,0.8609134650198349,0.6382238886034998,1.0,0.9848489563164256,1.0,0.5805966461473407,1.0,0.4134557823705471,-0.0,0.2780675616248154,0.5520877323579354,1.0,LunarLander
LunarLander-v2#38.57142857142857#285.7142857142857#0.8999999999999999,0.9502343550038296,0.0664023408374819,0.0,0.07,0.07,0.08,0.08,-0.0752433804579761,-1.042369729213329,0.4279239924187337,0.9325488586196774,1.0,0.9196941934016096,0.7593197838727139,0.8840792398058134,1.0,1.0,0.738470690719629,-0.0,-0.0,0.5362281353951343,1.0,LunarLander
LunarLander-v2#32.85714285714286#285.7142857142857#1.7,0.8765248838299902,0.0724424850696787,0.0,0.12,0.12,0.07,0.07,-1.6415744248840178,4.103823467427171,0.6666565530108987,0.9005548063039834,0.8726249172183973,1.0,0.8580963079060039,1.0,0.8048614956675474,1.0,0.9816975077987612,0.8813215377721849,1.0,0.8521686706682765,0.8991217098583989,LunarLander
LunarLander-v2#32.85714285714286#1142.857142857143#0.7,0.8293637026817304,0.0272087406212686,0.0,0.09,0.09,0.08,0.08,-0.1139154408580423,-1.0778043187216368,0.5584521981166407,0.7711795506685896,0.9745572955787164,1.0,0.5301990108040798,1.0,0.4606024736633003,1.0,0.7121610938911052,-0.0,0.2121918583438329,1.0,0.9886172065965212,LunarLander
CartPole-v1#12.74#1.3#0.19#0.95#13.0,0.7326811247473901,0.0035622690227392,0.0018253968253968,0.1,0.1,0.07,0.07,2.1763209267316466,6.4501112694210505,0.7874885838961312,1.0,0.6518666632919082,0.4540636310714013,0.1407418977912657,0.2168385562894561,1.0,1.0,0.3149662880119866,0.5379895171234608,0.6336721615061758,1.0,0.2114683258048849,CartPole
CartPole-v1#12.74#1.3#0.19#0.05#7.0,0.5097325838894775,0.0034365196888318,0.0102069606222529,0.09,0.11,0.06,0.07,0.7630454337037111,-0.1017824305740289,0.6872061926215912,0.7529743956411443,1.0,0.6483517867362172,0.224738065569675,0.6561862428188278,1.0,1.0,0.6591213230652696,0.829378054073789,0.2130511320015178,1.0,0.9684202593390874,CartPole
CartPole-v1#18.62#1.9#0.01#0.65#7.0,0.7015358307119373,0.0060988535447362,0.0013968253968253,0.11,0.11,0.08,0.08,1.5428202415877346,3.5182861676043995,0.5713696634498279,0.3885664378450619,0.6401134430493338,1.0,0.3616758335839719,0.96290748610073,1.0,1.0,-0.0,1.0,0.6748935326917466,0.9170180719277052,-0.0,CartPole
CartPole-v1#18.62#1.9#0.06999999999999999#0.65#1.0,0.4610613916761448,0.0023266410898909,0.0064801192014083,0.06,0.06,0.06,0.06,0.3373844447425675,0.0580181414195486,0.4302314931633417,0.2580163937055869,0.3945557498275612,1.0,1.0,0.2502495875237764,0.2620196096976576,1.0,0.259562411459153,0.2494659429689138,1.0,0.0062373133755063,0.066465354989112,CartPole
